epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,31139.2,1.98799,1.41692,2.58782,0.75928,0.70947,0.76391,0.59672,1.81076,3.12948,2.86319,0.0011395,0.0011395,0.0011395
181,31311.7,1.97607,1.41823,2.59911,0.76209,0.70584,0.76398,0.59695,1.80978,3.12944,2.86305,0.00109,0.00109,0.00109
182,31484.8,1.95901,1.40284,2.62482,0.76382,0.70543,0.7642,0.59707,1.80981,3.12805,2.86236,0.0010405,0.0010405,0.0010405
183,31658.2,1.98389,1.39944,2.59023,0.76669,0.70469,0.76441,0.59717,1.80937,3.12712,2.86205,0.000991,0.000991,0.000991
184,31830.9,1.97302,1.4114,2.59893,0.76666,0.7053,0.7645,0.5974,1.81,3.1264,2.86259,0.0009415,0.0009415,0.0009415
185,32003.6,1.95652,1.4143,2.63443,0.76524,0.70745,0.76486,0.59769,1.80994,3.12644,2.86222,0.000892,0.000892,0.000892
186,32175,1.93617,1.40617,2.6252,0.77082,0.70274,0.76506,0.59785,1.81042,3.12627,2.86293,0.0008425,0.0008425,0.0008425
187,32347.7,1.9729,1.4114,2.60665,0.77327,0.70254,0.76521,0.59815,1.81024,3.13214,2.86263,0.000793,0.000793,0.000793
188,32520.3,1.93893,1.38219,2.59919,0.77235,0.70402,0.76538,0.59836,1.80967,3.13531,2.86282,0.0007435,0.0007435,0.0007435
189,32694.1,1.91932,1.35424,2.57532,0.7707,0.70529,0.76564,0.59859,1.80971,3.13917,2.86295,0.000694,0.000694,0.000694
190,32867.9,1.95601,1.39386,2.58497,0.7719,0.70496,0.7658,0.59883,1.80956,3.14353,2.86295,0.0006445,0.0006445,0.0006445
191,33039.8,1.79194,1.18974,2.5951,0.77394,0.70451,0.76587,0.59892,1.80969,3.15046,2.86317,0.000595,0.000595,0.000595
192,33211,1.76922,1.15078,2.59482,0.77151,0.70772,0.7662,0.59936,1.80971,3.14768,2.86406,0.0005455,0.0005455,0.0005455
193,33381.3,1.82203,1.21899,2.59402,0.77172,0.7108,0.7666,0.59961,1.81007,3.14627,2.86494,0.000496,0.000496,0.000496
194,33551.5,1.78956,1.17691,2.61617,0.77307,0.70976,0.76684,0.59992,1.80992,3.14644,2.86523,0.0004465,0.0004465,0.0004465
195,33722.7,1.78012,1.18307,2.60519,0.77024,0.71205,0.76691,0.59984,1.80984,3.14648,2.86539,0.000397,0.000397,0.000397
196,33893.1,1.8211,1.1688,2.55716,0.77137,0.71191,0.76721,0.60035,1.81029,3.14791,2.86594,0.0003475,0.0003475,0.0003475
197,34063.4,1.76622,1.14042,2.57231,0.77182,0.71389,0.76814,0.60099,1.81106,3.14582,2.8658,0.000298,0.000298,0.000298
198,34235,1.84409,1.20507,2.59211,0.77167,0.71401,0.7683,0.60107,1.8119,3.14988,2.8663,0.0002485,0.0002485,0.0002485
199,34405.7,1.77879,1.13096,2.58608,0.77671,0.71061,0.76896,0.60137,1.81239,3.15233,2.86685,0.000199,0.000199,0.000199
200,34576.1,1.76217,1.13002,2.55899,0.77724,0.71023,0.76913,0.60165,1.81268,3.15584,2.86748,0.0001495,0.0001495,0.0001495
